"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",4,"Peak",4,"CMUE-MLE","0.002939 (0.0007150)","0.1787 (0.0006070)","0.9635 (0.0007510)","0.6813 (0.0002459)",62423,62423
"Normal",4,"Peak",4,"CMUE-ZERO","0.03037 (0.0007264)","0.1840 (0.0006182)","0.9491 (0.0008797)","0.6447 (0.0002414)",62423,62423
"Normal",4,"Peak",4,"RB","0.0002310 (0.0007308)","0.1826 (0.0006380)","0.9575 (0.0008073)","0.7129 (0.0002706)",62422,62421
"Normal",4,"Line",1,"Stage 2","-0.002334 (0.003634)","0.2821 (0.002583)","0.9497 (0.002814)","1.109 (0.0000000000000000008465)",6028,6028
"Normal",4,"Line",1,"Naive","0.08971 (0.002125)","0.1878 (0.002033)","0.7659 (0.005454)","0.5094 (0.002902)",6028,6028
"Normal",4,"Line",1,"CBAE-SI","0.004443 (0.002153)","0.1672 (0.001851)","—","—",6028,
"Normal",4,"Line",1,"CBAE-MI","-0.03693 (0.002364)","0.1847 (0.002014)","—","—",5866,
"Normal",4,"Line",1,"CMUE-MLE","0.001936 (0.002429)","0.1886 (0.002242)","0.9693 (0.002221)","0.7099 (0.001096)",6028,6028
"Normal",4,"Line",1,"CMUE-ZERO","0.04868 (0.002506)","0.2005 (0.002267)","0.9358 (0.003157)","0.6846 (0.001147)",6028,6028
"Normal",4,"Line",1,"RB","-0.001120 (0.002416)","0.1876 (0.002473)","0.9623 (0.002453)","0.7402 (0.001083)",6027,6026
"Normal",4,"Line",2,"Stage 2","-0.0005185 (0.002422)","0.2826 (0.001731)","0.9493 (0.001880)","1.109 (0.0000000000000000007030)",13623,13623
"Normal",4,"Line",2,"Naive","0.08467 (0.001491)","0.1935 (0.001323)","0.7794 (0.003553)","0.5161 (0.001971)",13623,13623
"Normal",4,"Line",2,"CBAE-SI","0.006375 (0.001502)","0.1754 (0.001252)","—","—",13623,
"Normal",4,"Line",2,"CBAE-MI","-0.02944 (0.001584)","0.1861 (0.001336)","—","—",13458,
"Normal",4,"Line",2,"CMUE-MLE","0.009624 (0.001605)","0.1875 (0.001474)","0.9689 (0.001486)","0.6933 (0.0006076)",13623,13623
"Normal",4,"Line",2,"CMUE-ZERO","0.05228 (0.001658)","0.2005 (0.001490)","0.9356 (0.002103)","0.6614 (0.0006051)",13623,13623
"Normal",4,"Line",2,"RB","0.001855 (0.001595)","0.1861 (0.001596)","0.9628 (0.001621)","0.7244 (0.0006373)",13619,13616
"Normal",4,"Line",3,"Stage 2","-0.002852 (0.001680)","0.2807 (0.001189)","0.9524 (0.001274)","1.109 (0.0000000000000000006136)",27917,27917
"Normal",4,"Line",3,"Naive","0.07623 (0.001045)","0.1904 (0.0009289)","0.7725 (0.002509)","0.5327 (0.001389)",27917,27917
"Normal",4,"Line",3,"CBAE-SI","0.004728 (0.001054)","0.1762 (0.0008867)","—","—",27917,
"Normal",4,"Line",3,"CBAE-MI","-0.02617 (0.001089)","0.1833 (0.0009220)","—","—",27742,
"Normal",4,"Line",3,"CMUE-MLE","0.01032 (0.001086)","0.1817 (0.0009683)","0.9689 (0.001038)","0.6889 (0.0003650)",27917,27917
"Normal",4,"Line",3,"CMUE-ZERO","0.04899 (0.001119)","0.1933 (0.0009908)","0.9395 (0.001427)","0.6501 (0.0003462)",27917,27917
"Normal",4,"Line",3,"RB","0.00002423 (0.001100)","0.1838 (0.001016)","0.9559 (0.001228)","0.7219 (0.0004398)",27916,27915
"Normal",4,"Line",4,"Stage 2","-0.0008456 (0.001244)","0.2827 (0.0008825)","0.9509 (0.0009510)","1.109 (0.0000000000000000005299)",51639,51639
"Normal",4,"Line",4,"Naive","0.06368 (0.0007608)","0.1842 (0.0006697)","0.8030 (0.001750)","0.5666 (0.001039)",51639,51639
"Normal",4,"Line",4,"CBAE-SI","0.0003048 (0.0007778)","0.1767 (0.0006403)","—","—",51639,
"Normal",4,"Line",4,"CBAE-MI","-0.02378 (0.0007956)","0.1822 (0.0006565)","—","—",51530,
"Normal",4,"Line",4,"CMUE-MLE","0.006688 (0.0007871)","0.1790 (0.0006587)","0.9651 (0.0008080)","0.6867 (0.0002754)",51639,51639
"Normal",4,"Line",4,"CMUE-ZERO","0.03968 (0.0008002)","0.1861 (0.0006743)","0.9474 (0.0009823)","0.6432 (0.0002729)",51639,51639
"Normal",4,"Line",4,"RB","0.0001966 (0.0008164)","0.1855 (0.0006990)","0.9558 (0.0009041)","0.7240 (0.0003225)",51639,51637
"Normal",5,"H0",1,"Stage 2","0.0005969 (0.002132)","0.3015 (0.001512)","0.9490 (0.001556)","1.182 (0.0000000000000000004212)",19996,19996
"Normal",5,"H0",1,"Naive","0.06801 (0.0009648)","0.1524 (0.0008349)","0.8234 (0.002697)","0.5759 (0.001623)",19996,19996
"Normal",5,"H0",1,"CBAE-SI","0.002548 (0.001137)","0.1608 (0.0009625)","—","—",19996,
"Normal",5,"H0",1,"CBAE-MI","-0.03030 (0.001286)","0.1831 (0.001093)","—","—",19696,
"Normal",5,"H0",1,"CMUE-MLE","-0.03298 (0.001446)","0.2071 (0.001473)","0.9561 (0.001448)","0.7600 (0.0006713)",19996,19996
"Normal",5,"H0",1,"CMUE-ZERO","-0.02594 (0.001488)","0.2120 (0.001496)","0.9485 (0.001563)","0.7596 (0.0006757)",19996,19996
"Normal",5,"H0",1,"RB","0.0001070 (0.001449)","0.2049 (0.001394)","0.9620 (0.001352)","0.7901 (0.0008188)",19995,19994
"Normal",5,"H0",2,"Stage 2","-0.0001236 (0.002122)","0.3019 (0.001511)","0.9491 (0.001545)","1.182 (0.0000000000000000004184)",20229,20229
"Normal",5,"H0",2,"Naive","0.06782 (0.0009455)","0.1506 (0.0007876)","0.8239 (0.002678)","0.5753 (0.001625)",20229,20229
"Normal",5,"H0",2,"CBAE-SI","0.002777 (0.001117)","0.1589 (0.0009345)","—","—",20229,
"Normal",5,"H0",2,"CBAE-MI","-0.02935 (0.001261)","0.1805 (0.001077)","—","—",19927,
"Normal",5,"H0",2,"CMUE-MLE","-0.03291 (0.001432)","0.2063 (0.001473)","0.9567 (0.001430)","0.7596 (0.0006648)",20229,20229
"Normal",5,"H0",2,"CMUE-ZERO","-0.02612 (0.001472)","0.2110 (0.001495)","0.9498 (0.001536)","0.7593 (0.0006691)",20229,20229
"Normal",5,"H0",2,"RB","0.0003142 (0.001437)","0.2044 (0.001376)","0.9632 (0.001324)","0.7896 (0.0008129)",20227,20225
"Normal",5,"H0",3,"Stage 2","0.0005263 (0.002144)","0.3023 (0.001525)","0.9494 (0.001555)","1.182 (0.0000000000000000004155)",19883,19883
"Normal",5,"H0",3,"Naive","0.06864 (0.0009586)","0.1516 (0.0008403)","0.8225 (0.002710)","0.5754 (0.001627)",19883,19883
"Normal",5,"H0",3,"CBAE-SI","0.003565 (0.001127)","0.1590 (0.0009470)","—","—",19883,
"Normal",5,"H0",3,"CBAE-MI","-0.02936 (0.001279)","0.1814 (0.001091)","—","—",19609,
"Normal",5,"H0",3,"CMUE-MLE","-0.03247 (0.001436)","0.2051 (0.001456)","0.9569 (0.001440)","0.7599 (0.0006694)",19883,19883
"Normal",5,"H0",3,"CMUE-ZERO","-0.02561 (0.001477)","0.2099 (0.001475)","0.9504 (0.001540)","0.7597 (0.0006769)",19883,19883
"Normal",5,"H0",3,"RB","0.0007061 (0.001437)","0.2026 (0.001380)","0.9625 (0.001347)","0.7899 (0.0008117)",19882,19875
"Normal",5,"H0",4,"Stage 2","-0.001482 (0.002141)","0.3024 (0.001516)","0.9486 (0.001563)","1.182 (0.0000000000000000004200)",19946,19946
"Normal",5,"H0",4,"Naive","0.06674 (0.0009570)","0.1507 (0.0008095)","0.8237 (0.002698)","0.5760 (0.001623)",19946,19946
"Normal",5,"H0",4,"CBAE-SI","0.001381 (0.001131)","0.1597 (0.0009497)","—","—",19946,
"Normal",5,"H0",4,"CBAE-MI","-0.03095 (0.001279)","0.1818 (0.001089)","—","—",19625,
"Normal",5,"H0",4,"CMUE-MLE","-0.03516 (0.001447)","0.2073 (0.001486)","0.9565 (0.001444)","0.7606 (0.0006684)",19946,19946
"Normal",5,"H0",4,"CMUE-ZERO","-0.02841 (0.001488)","0.2121 (0.001511)","0.9500 (0.001543)","0.7604 (0.0006732)",19946,19946
"Normal",5,"H0",4,"RB","-0.001725 (0.001452)","0.2050 (0.001409)","0.9625 (0.001346)","0.7911 (0.0008178)",19943,19939
"Normal",5,"H1",1,"Stage 2","0.0006813 (0.001908)","0.3013 (0.001354)","0.9493 (0.001389)","1.182 (0.0000000000000000007812)",24932,24932
"Normal",5,"H1",1,"Naive","0.09223 (0.001095)","0.1960 (0.001084)","0.7695 (0.002667)","0.5445 (0.001633)",24932,24932
"Normal",5,"H1",1,"CBAE-SI","0.01273 (0.001108)","0.1754 (0.0009995)","—","—",24932,
"Normal",5,"H1",1,"CBAE-MI","-0.01812 (0.001120)","0.1770 (0.0009676)","—","—",24711,
"Normal",5,"H1",1,"CMUE-MLE","0.01704 (0.001112)","0.1763 (0.0009009)","0.9667 (0.001135)","0.6940 (0.0004913)",24932,24932
"Normal",5,"H1",1,"CMUE-ZERO","0.06644 (0.001127)","0.1900 (0.0009186)","0.9340 (0.001572)","0.6367 (0.0004907)",24932,24932
"Normal",5,"H1",1,"RB","0.001262 (0.001211)","0.1912 (0.001007)","0.9588 (0.001259)","0.7388 (0.0005052)",24930,24928
"Normal",5,"H1",2,"Stage 2","0.0004283 (0.001906)","0.3022 (0.001350)","0.9494 (0.001382)","1.182 (0.0000000000000000007760)",25155,25155
"Normal",5,"H1",2,"Naive","0.09091 (0.001077)","0.1935 (0.001044)","0.7740 (0.002637)","0.5451 (0.001633)",25155,25155
"Normal",5,"H1",2,"CBAE-SI","0.01148 (0.001089)","0.1731 (0.0009644)","—","—",25155,
"Normal",5,"H1",2,"CBAE-MI","-0.01900 (0.001100)","0.1746 (0.0009416)","—","—",24931,
"Normal",5,"H1",2,"CMUE-MLE","0.01598 (0.001096)","0.1746 (0.0008776)","0.9676 (0.001116)","0.6951 (0.0004748)",25155,25155
"Normal",5,"H1",2,"CMUE-ZERO","0.06536 (0.001114)","0.1883 (0.0008968)","0.9370 (0.001532)","0.6380 (0.0004751)",25155,25155
"Normal",5,"H1",2,"RB","0.0003196 (0.001189)","0.1886 (0.0009634)","0.9617 (0.001211)","0.7384 (0.0004973)",25154,25151
"Normal",5,"H1",3,"Stage 2","0.0001334 (0.001912)","0.3012 (0.001358)","0.9501 (0.001381)","1.182 (0.0000000000000000007830)",24830,24830
"Normal",5,"H1",3,"Naive","0.09044 (0.001084)","0.1932 (0.001060)","0.7700 (0.002671)","0.5449 (0.001637)",24830,24830
"Normal",5,"H1",3,"CBAE-SI","0.01099 (0.001094)","0.1728 (0.0009736)","—","—",24830,
"Normal",5,"H1",3,"CBAE-MI","-0.01958 (0.001104)","0.1742 (0.0009461)","—","—",24595,
"Normal",5,"H1",3,"CMUE-MLE","0.01543 (0.001101)","0.1741 (0.0008847)","0.9689 (0.001101)","0.6947 (0.0004824)",24830,24830
"Normal",5,"H1",3,"CMUE-ZERO","0.06483 (0.001119)","0.1879 (0.0009095)","0.9364 (0.001549)","0.6375 (0.0004783)",24830,24830
"Normal",5,"H1",3,"RB","-0.0006013 (0.001193)","0.1880 (0.0009742)","0.9630 (0.001198)","0.7382 (0.0005085)",24828,24824
"Normal",5,"H1",4,"Stage 2","-0.002074 (0.001916)","0.3020 (0.001365)","0.9484 (0.001404)","1.182 (0.0000000000000000007821)",24834,24834
"Normal",5,"H1",4,"Naive","0.09025 (0.001091)","0.1942 (0.001059)","0.7692 (0.002674)","0.5429 (0.001634)",24834,24834
"Normal",5,"H1",4,"CBAE-SI","0.01083 (0.001105)","0.1745 (0.0009793)","—","—",24834,
"Normal",5,"H1",4,"CBAE-MI","-0.01970 (0.001117)","0.1763 (0.0009546)","—","—",24608,
"Normal",5,"H1",4,"CMUE-MLE","0.01517 (0.001113)","0.1760 (0.0009035)","0.9661 (0.001149)","0.6940 (0.0004802)",24834,24834
"Normal",5,"H1",4,"CMUE-ZERO","0.06446 (0.001128)","0.1891 (0.0009193)","0.9352 (0.001562)","0.6373 (0.0004811)",24834,24834
"Normal",5,"H1",4,"RB","-0.0004861 (0.001208)","0.1903 (0.0009944)","0.9598 (0.001247)","0.7373 (0.0005031)",24834,24829
"Normal",5,"Peak",1,"Stage 2","0.003257 (0.002666)","0.3020 (0.001890)","0.9494 (0.001935)","1.182 (0.0000000000000000007213)",12831,12831
"Normal",5,"Peak",1,"Naive","0.07305 (0.001517)","0.1867 (0.001343)","0.7416 (0.003864)","0.5141 (0.002273)",12831,12831
"Normal",5,"Peak",1,"CBAE-SI","0.004078 (0.001499)","0.1698 (0.001238)","—","—",12831,
"Normal",5,"Peak",1,"CBAE-MI","-0.02300 (0.001581)","0.1795 (0.001306)","—","—",12681,
"Normal",5,"Peak",1,"CMUE-MLE","0.004906 (0.001625)","0.1841 (0.001452)","0.9605 (0.001720)","0.6640 (0.0006330)",12831,12831
"Normal",5,"Peak",1,"CMUE-ZERO","0.03729 (0.001676)","0.1935 (0.001477)","0.9380 (0.002128)","0.6457 (0.0006108)",12831,12831
"Normal",5,"Peak",1,"RB","0.002618 (0.001583)","0.1793 (0.001569)","0.9523 (0.001883)","0.6913 (0.0006192)",12828,12822
"Normal",5,"Peak",2,"Stage 2","0.001016 (0.002652)","0.3025 (0.001901)","0.9478 (0.001950)","1.182 (0.0000000000000000007257)",13018,13018
"Normal",5,"Peak",2,"Naive","0.06957 (0.001485)","0.1831 (0.001250)","0.7484 (0.003803)","0.5143 (0.002271)",13018,13018
"Normal",5,"Peak",2,"CBAE-SI","0.0009770 (0.001469)","0.1676 (0.001181)","—","—",13018,
"Normal",5,"Peak",2,"CBAE-MI","-0.02603 (0.001545)","0.1774 (0.001261)","—","—",12892,
"Normal",5,"Peak",2,"CMUE-MLE","0.002290 (0.001592)","0.1817 (0.001457)","0.9650 (0.001611)","0.6635 (0.0006240)",13018,13018
"Normal",5,"Peak",2,"CMUE-ZERO","0.03417 (0.001645)","0.1908 (0.001477)","0.9404 (0.002075)","0.6456 (0.0005986)",13018,13018
"Normal",5,"Peak",2,"RB","0.0007350 (0.001543)","0.1760 (0.001559)","0.9590 (0.001739)","0.6906 (0.0006171)",13017,13011
"Normal",5,"Peak",3,"Stage 2","-0.002593 (0.002672)","0.3013 (0.001912)","0.9486 (0.001958)","1.182 (0.0000000000000000007283)",12711,12711
"Normal",5,"Peak",3,"Naive","0.07009 (0.001513)","0.1845 (0.001321)","0.7429 (0.003876)","0.5106 (0.002266)",12711,12711
"Normal",5,"Peak",3,"CBAE-SI","0.001043 (0.001496)","0.1687 (0.001247)","—","—",12711,
"Normal",5,"Peak",3,"CBAE-MI","-0.02601 (0.001573)","0.1782 (0.001299)","—","—",12565,
"Normal",5,"Peak",3,"CMUE-MLE","0.002144 (0.001621)","0.1828 (0.001488)","0.9620 (0.001696)","0.6637 (0.0006346)",12711,12711
"Normal",5,"Peak",3,"CMUE-ZERO","0.03439 (0.001676)","0.1920 (0.001513)","0.9370 (0.002155)","0.6456 (0.0006101)",12711,12711
"Normal",5,"Peak",3,"RB","-0.0004436 (0.001577)","0.1778 (0.001600)","0.9564 (0.001812)","0.6914 (0.0006221)",12708,12704
"Normal",5,"Peak",4,"Stage 2","-0.0006165 (0.001237)","0.3029 (0.0008782)","0.9488 (0.0008997)","1.182 (0.0000000000000000005049)",60015,60015
"Normal",5,"Peak",4,"Naive","0.05753 (0.0006796)","0.1761 (0.0006268)","0.7895 (0.001664)","0.5654 (0.001069)",60015,60015
"Normal",5,"Peak",4,"CBAE-SI","-0.0005676 (0.0006836)","0.1675 (0.0005955)","—","—",60015,
"Normal",5,"Peak",4,"CBAE-MI","-0.01698 (0.0006895)","0.1697 (0.0006007)","—","—",59949,
"Normal",5,"Peak",4,"CMUE-MLE","0.004809 (0.0007000)","0.1716 (0.0005734)","0.9624 (0.0007767)","0.6704 (0.0002843)",60015,60015
"Normal",5,"Peak",4,"CMUE-ZERO","0.02991 (0.0007121)","0.1770 (0.0005781)","0.9482 (0.0009043)","0.6406 (0.0002701)",60015,60015
"Normal",5,"Peak",4,"RB","-0.00003601 (0.0007317)","0.1792 (0.0006028)","0.9699 (0.0006972)","0.6986 (0.0002550)",60013,60012
"Normal",5,"Line",1,"Stage 2","0.003584 (0.003699)","0.3008 (0.002618)","0.9508 (0.002660)","1.182 (0.0000000000000000009066)",6609,6609
"Normal",5,"Line",1,"Naive","0.08184 (0.002073)","0.1874 (0.001966)","0.7367 (0.005417)","0.5073 (0.003117)",6609,6609
"Normal",5,"Line",1,"CBAE-SI","0.006592 (0.002060)","0.1676 (0.001775)","—","—",6609,
"Normal",5,"Line",1,"CBAE-MI","-0.02527 (0.002217)","0.1802 (0.001852)","—","—",6481,
"Normal",5,"Line",1,"CMUE-MLE","0.005234 (0.002285)","0.1858 (0.002080)","0.9602 (0.002404)","0.6726 (0.0009336)",6609,6609
"Normal",5,"Line",1,"CMUE-ZERO","0.04362 (0.002350)","0.1959 (0.002141)","0.9281 (0.003177)","0.6542 (0.0009235)",6609,6609
"Normal",5,"Line",1,"RB","0.003904 (0.002249)","0.1828 (0.002192)","0.9492 (0.002703)","0.6997 (0.0009475)",6603,6598
"Normal",5,"Line",2,"Stage 2","0.0006584 (0.002509)","0.3008 (0.001781)","0.9502 (0.001815)","1.182 (0.0000000000000000007514)",14372,14372
"Normal",5,"Line",2,"Naive","0.07610 (0.001449)","0.1897 (0.001210)","0.7543 (0.003591)","0.5104 (0.002157)",14372,14372
"Normal",5,"Line",2,"CBAE-SI","0.004730 (0.001425)","0.1709 (0.001132)","—","—",14372,
"Normal",5,"Line",2,"CBAE-MI","-0.02180 (0.001476)","0.1774 (0.001198)","—","—",14221,
"Normal",5,"Line",2,"CMUE-MLE","0.007952 (0.001504)","0.1804 (0.001300)","0.9650 (0.001533)","0.6631 (0.0005672)",14372,14372
"Normal",5,"Line",2,"CMUE-ZERO","0.04340 (0.001560)","0.1920 (0.001324)","0.9384 (0.002006)","0.6393 (0.0005118)",14372,14372
"Normal",5,"Line",2,"RB","-0.00004604 (0.001476)","0.1769 (0.001373)","0.9566 (0.001700)","0.6905 (0.0005595)",14369,14369
"Normal",5,"Line",3,"Stage 2","-0.0004824 (0.001804)","0.3016 (0.001278)","0.9498 (0.001307)","1.182 (0.0000000000000000006400)",27928,27928
"Normal",5,"Line",3,"Naive","0.07503 (0.001020)","0.1862 (0.0008942)","0.7711 (0.002514)","0.5258 (0.001560)",27928,27928
"Normal",5,"Line",3,"CBAE-SI","0.007200 (0.001011)","0.1690 (0.0008521)","—","—",27928,
"Normal",5,"Line",3,"CBAE-MI","-0.01656 (0.001027)","0.1720 (0.0008851)","—","—",27769,
"Normal",5,"Line",3,"CMUE-MLE","0.01181 (0.001040)","0.1742 (0.0008946)","0.9653 (0.001095)","0.6686 (0.0003974)",27928,27928
"Normal",5,"Line",3,"CMUE-ZERO","0.04537 (0.001075)","0.1854 (0.0009042)","0.9427 (0.001391)","0.6383 (0.0003457)",27928,27928
"Normal",5,"Line",3,"RB","-0.0001780 (0.001060)","0.1772 (0.0009346)","0.9640 (0.001115)","0.6963 (0.0003996)",27928,27923
"Normal",5,"Line",4,"Stage 2","-0.0007990 (0.001354)","0.3031 (0.0009643)","0.9488 (0.0009841)","1.182 (0.0000000000000000005525)",50122,50122
"Normal",5,"Line",4,"Naive","0.06442 (0.0007490)","0.1796 (0.0006979)","0.7858 (0.001833)","0.5607 (0.001166)",50122,50122
"Normal",5,"Line",4,"CBAE-SI","0.002139 (0.0007541)","0.1688 (0.0006596)","—","—",50122,
"Normal",5,"Line",4,"CBAE-MI","-0.01777 (0.0007623)","0.1714 (0.0006651)","—","—",50023,
"Normal",5,"Line",4,"CMUE-MLE","0.007380 (0.0007701)","0.1726 (0.0006346)","0.9636 (0.0008362)","0.6750 (0.0003167)",50122,50122
"Normal",5,"Line",4,"CMUE-ZERO","0.03719 (0.0007835)","0.1793 (0.0006402)","0.9464 (0.001006)","0.6400 (0.0003038)",50122,50122
"Normal",5,"Line",4,"RB","-0.0003981 (0.0008129)","0.1820 (0.0006736)","0.9674 (0.0007933)","0.7073 (0.0002978)",50122,50120
"Log(OR)",3,"H0",1,"Stage 2","0.001252 (0.002942)","0.4224 (0.002057)","0.9502 (0.001515)","1.645 (0.0001321)",20614,20614
"Log(OR)",3,"H0",1,"Naive","0.1540 (0.001466)","0.2608 (0.001395)","0.9375 (0.001686)","1.084 (0.0007144)",20614,20614
"Log(OR)",3,"H0",1,"CBAE-SI","0.02270 (0.001792)","0.2583 (0.001459)","—","—",20614,
"Log(OR)",3,"H0",1,"CBAE-MI","-0.06408 (0.002173)","0.3122 (0.001806)","—","—",19763,
"Log(OR)",3,"H0",1,"CMUE-MLE","-0.05900 (0.002319)","0.3381 (0.001731)","0.9583 (0.001392)","1.318 (0.001274)",20614,20614
"Log(OR)",3,"H0",1,"CMUE-ZERO","-0.04341 (0.002430)","0.3515 (0.001734)","0.9476 (0.001552)","1.315 (0.001350)",20614,20614
"Log(OR)",3,"H0",1,"RB","-0.001497 (0.002505)","0.3597 (0.001661)","0.9552 (0.001441)","1.391 (0.001002)",20613,20613
"Log(OR)",3,"H0",2,"Stage 2","-0.003837 (0.002940)","0.4243 (0.002066)","0.9501 (0.001509)","1.645 (0.0001304)",20828,20828
"Log(OR)",3,"H0",2,"Naive","0.1490 (0.001450)","0.2568 (0.001349)","0.9382 (0.001669)","1.085 (0.0007094)",20828,20828
"Log(OR)",3,"H0",2,"CBAE-SI","0.01688 (0.001780)","0.2575 (0.001437)","—","—",20828,
"Log(OR)",3,"H0",2,"CBAE-MI","-0.07043 (0.002169)","0.3141 (0.001809)","—","—",19925,
"Log(OR)",3,"H0",2,"CMUE-MLE","-0.06584 (0.002307)","0.3394 (0.001712)","0.9589 (0.001375)","1.319 (0.001264)",20828,20828
"Log(OR)",3,"H0",2,"CMUE-ZERO","-0.05100 (0.002414)","0.3521 (0.001711)","0.9505 (0.001504)","1.317 (0.001336)",20828,20828
"Log(OR)",3,"H0",2,"RB","-0.009479 (0.002502)","0.3612 (0.001666)","0.9568 (0.001409)","1.393 (0.0009967)",20828,20828
"Log(OR)",3,"H0",3,"Stage 2","-0.002183 (0.002924)","0.4239 (0.002057)","0.9490 (0.001517)","1.645 (0.0001309)",21019,21019
"Log(OR)",3,"H0",3,"Naive","0.1511 (0.001438)","0.2574 (0.001340)","0.9400 (0.001638)","1.084 (0.0007081)",21019,21019
"Log(OR)",3,"H0",3,"CBAE-SI","0.01920 (0.001765)","0.2565 (0.001447)","—","—",21019,
"Log(OR)",3,"H0",3,"CBAE-MI","-0.06959 (0.002153)","0.3134 (0.001839)","—","—",20144,
"Log(OR)",3,"H0",3,"CMUE-MLE","-0.06255 (0.002285)","0.3371 (0.001712)","0.9592 (0.001364)","1.319 (0.001262)",21019,21019
"Log(OR)",3,"H0",3,"CMUE-ZERO","-0.04663 (0.002394)","0.3502 (0.001708)","0.9503 (0.001499)","1.316 (0.001329)",21019,21019
"Log(OR)",3,"H0",3,"RB","-0.005665 (0.002476)","0.3590 (0.001657)","0.9586 (0.001375)","1.392 (0.0009894)",21017,21017
"Log(OR)",3,"H0",4,"Stage 2","-0.0007456 (0.002973)","0.4274 (0.002107)","0.9459 (0.001574)","1.645 (0.0001314)",20667,20667
"Log(OR)",3,"H0",4,"Naive","0.1508 (0.001463)","0.2588 (0.001336)","0.9378 (0.001680)","1.085 (0.0007132)",20667,20667
"Log(OR)",3,"H0",4,"CBAE-SI","0.01899 (0.001801)","0.2596 (0.001468)","—","—",20667,
"Log(OR)",3,"H0",4,"CBAE-MI","-0.06565 (0.002179)","0.3129 (0.001853)","—","—",19726,
"Log(OR)",3,"H0",4,"CMUE-MLE","-0.06315 (0.002327)","0.3404 (0.001743)","0.9594 (0.001373)","1.318 (0.001283)",20667,20667
"Log(OR)",3,"H0",4,"CMUE-ZERO","-0.04800 (0.002433)","0.3530 (0.001736)","0.9484 (0.001539)","1.314 (0.001349)",20667,20667
"Log(OR)",3,"H0",4,"RB","-0.007259 (0.002530)","0.3637 (0.001718)","0.9556 (0.001433)","1.392 (0.001003)",20664,20664
"Log(OR)",3,"H1",1,"Stage 2","-0.001298 (0.002557)","0.4052 (0.001825)","0.9505 (0.001369)","1.621 (0.00003294)",25117,25117
"Log(OR)",3,"H1",1,"Naive","0.1486 (0.001668)","0.3032 (0.001271)","0.9435 (0.001456)","1.039 (0.0006657)",25117,25117
"Log(OR)",3,"H1",1,"CBAE-SI","0.02496 (0.001757)","0.2796 (0.001244)","—","—",25117,
"Log(OR)",3,"H1",1,"CBAE-MI","-0.04735 (0.001834)","0.2909 (0.001387)","—","—",24486,
"Log(OR)",3,"H1",1,"CMUE-MLE","-0.03476 (0.001349)","0.2166 (0.001335)","0.9761 (0.0009635)","0.8273 (0.001397)",25117,25117
"Log(OR)",3,"H1",1,"CMUE-ZERO","0.03839 (0.001190)","0.1925 (0.001148)","0.9462 (0.001424)","0.6372 (0.001558)",25117,25117
"Log(OR)",3,"H1",1,"RB","-0.01775 (0.001989)","0.3158 (0.001413)","0.9620 (0.001206)","1.270 (0.0008495)",25117,25117
"Log(OR)",3,"H1",2,"Stage 2","-0.003075 (0.002601)","0.4112 (0.001800)","0.9478 (0.001407)","1.621 (0.00003301)",24989,24989
"Log(OR)",3,"H1",2,"Naive","0.1483 (0.001680)","0.3042 (0.001285)","0.9407 (0.001494)","1.039 (0.0006673)",24989,24989
"Log(OR)",3,"H1",2,"CBAE-SI","0.02412 (0.001775)","0.2816 (0.001248)","—","—",24989,
"Log(OR)",3,"H1",2,"CBAE-MI","-0.04837 (0.001853)","0.2932 (0.001364)","—","—",24347,
"Log(OR)",3,"H1",2,"CMUE-MLE","-0.03594 (0.001350)","0.2164 (0.001271)","0.9751 (0.0009863)","0.8271 (0.001413)",24989,24989
"Log(OR)",3,"H1",2,"CMUE-ZERO","0.03779 (0.001188)","0.1915 (0.001085)","0.9447 (0.001446)","0.6368 (0.001566)",24989,24989
"Log(OR)",3,"H1",2,"RB","-0.01755 (0.002000)","0.3166 (0.001368)","0.9600 (0.001240)","1.269 (0.0008546)",24987,24987
"Log(OR)",3,"H1",3,"Stage 2","-0.002149 (0.002599)","0.4102 (0.001816)","0.9480 (0.001408)","1.621 (0.00003372)",24901,24901
"Log(OR)",3,"H1",3,"Naive","0.1482 (0.001681)","0.3039 (0.001281)","0.9427 (0.001473)","1.039 (0.0006685)",24901,24901
"Log(OR)",3,"H1",3,"CBAE-SI","0.02436 (0.001775)","0.2812 (0.001234)","—","—",24901,
"Log(OR)",3,"H1",3,"CBAE-MI","-0.04748 (0.001850)","0.2920 (0.001340)","—","—",24266,
"Log(OR)",3,"H1",3,"CMUE-MLE","-0.03585 (0.001345)","0.2153 (0.001231)","0.9761 (0.0009678)","0.8265 (0.001415)",24901,24901
"Log(OR)",3,"H1",3,"CMUE-ZERO","0.03756 (0.001184)","0.1906 (0.001046)","0.9455 (0.001438)","0.6366 (0.001570)",24901,24901
"Log(OR)",3,"H1",3,"RB","-0.01772 (0.001999)","0.3159 (0.001342)","0.9605 (0.001234)","1.268 (0.0008573)",24900,24900
"Log(OR)",3,"H1",4,"Stage 2","-0.005999 (0.002578)","0.4072 (0.001835)","0.9497 (0.001383)","1.621 (0.00003308)",24954,24954
"Log(OR)",3,"H1",4,"Naive","0.1484 (0.001681)","0.3043 (0.001275)","0.9415 (0.001485)","1.040 (0.0006678)",24954,24954
"Log(OR)",3,"H1",4,"CBAE-SI","0.02393 (0.001773)","0.2811 (0.001247)","—","—",24954,
